school_id,school_name,learner_id,module,score_pct,passed,assessment_date,record_source,source_file,school_id_raw,school_folder,extracted_name,extracted_school,school_match_tier,canonical_school_name,resolved_school_id,internal_learner_id,match_route,match_note
,,,basic_computer_skills,55.8,False,,csv,Isomo Circles - Cohort 2 - GS Maranyundo - IS_SCH_025 - NorthStar Baseline Assessment - Sheet1.csv,,Gs Maranyundo,,IS_SCH_025,normalized,GS Maranyundo,ID_SCH_452997,,unresolvable_csv_source,CSV rows carry no learner identifier — school-level only
,,,info_literacy,22.0,False,,csv,Isomo Circles - Cohort 2 - GS Maranyundo - IS_SCH_025 - NorthStar Baseline Assessment - Sheet1.csv,,Gs Maranyundo,,IS_SCH_025,normalized,GS Maranyundo,ID_SCH_452997,,unresolvable_csv_source,CSV rows carry no learner identifier — school-level only
,,,internet_basics,22.0,False,,csv,Isomo Circles - Cohort 2 - GS Maranyundo - IS_SCH_025 - NorthStar Baseline Assessment - Sheet1.csv,,Gs Maranyundo,,IS_SCH_025,normalized,GS Maranyundo,ID_SCH_452997,,unresolvable_csv_source,CSV rows carry no learner identifier — school-level only
,,,basic_computer_skills,30.6,False,,csv,Isomo Circles - Cohort 2 - GS Maranyundo - IS_SCH_025 - NorthStar Baseline Assessment - Sheet1.csv,,Gs Maranyundo,,IS_SCH_025,normalized,GS Maranyundo,ID_SCH_452997,,unresolvable_csv_source,CSV rows carry no learner identifier — school-level only
,,,info_literacy,18.9,False,,csv,Isomo Circles - Cohort 2 - GS Maranyundo - IS_SCH_025 - NorthStar Baseline Assessment - Sheet1.csv,,Gs Maranyundo,,IS_SCH_025,normalized,GS Maranyundo,ID_SCH_452997,,unresolvable_csv_source,CSV rows carry no learner identifier — school-level only
,,,internet_basics,32.0,False,,csv,Isomo Circles - Cohort 2 - GS Maranyundo - IS_SCH_025 - NorthStar Baseline Assessment - Sheet1.csv,,Gs Maranyundo,,IS_SCH_025,normalized,GS Maranyundo,ID_SCH_452997,,unresolvable_csv_source,CSV rows carry no learner identifier — school-level only
,,,basic_computer_skills,76.9,False,,csv,Isomo Circles - Cohort 2 - GS Maranyundo - IS_SCH_025 - NorthStar Baseline Assessment - Sheet1.csv,,Gs Maranyundo,,IS_SCH_025,normalized,GS Maranyundo,ID_SCH_452997,,unresolvable_csv_source,CSV rows carry no learner identifier — school-level only
,,,info_literacy,31.6,False,,csv,Isomo Circles - Cohort 2 - GS Maranyundo - IS_SCH_025 - NorthStar Baseline Assessment - Sheet1.csv,,Gs Maranyundo,,IS_SCH_025,normalized,GS Maranyundo,ID_SCH_452997,,unresolvable_csv_source,CSV rows carry no learner identifier — school-level only
,,,internet_basics,53.0,False,,csv,Isomo Circles - Cohort 2 - GS Maranyundo - IS_SCH_025 - NorthStar Baseline Assessment - Sheet1.csv,,Gs Maranyundo,,IS_SCH_025,normalized,GS Maranyundo,ID_SCH_452997,,unresolvable_csv_source,CSV rows carry no learner identifier — school-level only
,,,basic_computer_skills,67.8,False,,csv,Isomo Circles - Cohort 2 - GS Maranyundo - IS_SCH_025 - NorthStar Baseline Assessment - Sheet1.csv,,Gs Maranyundo,,IS_SCH_025,normalized,GS Maranyundo,ID_SCH_452997,,unresolvable_csv_source,CSV rows carry no learner identifier — school-level only
,,,info_literacy,29.4,False,,csv,Isomo Circles - Cohort 2 - GS Maranyundo - IS_SCH_025 - NorthStar Baseline Assessment - Sheet1.csv,,Gs Maranyundo,,IS_SCH_025,normalized,GS Maranyundo,ID_SCH_452997,,unresolvable_csv_source,CSV rows carry no learner identifier — school-level only
